uuid,slug,name
11e81bd0-fb3f-6e08-8b7f-a0369fe50396,the-weeknd,The Weeknd
11e81bc1-deb4-6ac2-8633-a0369fe50396,taylor-swift,Taylor Swift
11e81bc3-0bf4-dc28-b549-a0369fe50396,ed-sheeran,Ed Sheeran
11e81bc2-a7b4-6f62-8bdc-a0369fe50396,miley-cyrus,Miley Cyrus
11e81bbf-6824-4bc2-ae1f-a0369fe50396,shakira,Shakira
11e81bc8-1ac0-2bc2-a381-a0369fe50396,rihanna,Rihanna
11e81bc9-a746-954e-b37b-a0369fe50396,ariana-grande,Ariana Grande
11e81bcc-70b5-8758-8e7d-a0369fe50396,justin-bieber,Justin Bieber
11e81bcd-65d5-4f2a-b59f-a0369fe50396,david-guetta,David Guetta
11e81bbf-8dca-ff1a-af94-a0369fe50396,drake-1,Drake
11e81bc7-70bd-fde8-8c2a-a0369fe50396,sza,SZA
11e81bc7-3ed6-f0f0-9e74-a0369fe50396,eminem,Eminem
11e81bbf-43d7-468e-9647-a0369fe50396,harry-styles,Harry Styles
11e81bc0-96ed-54e8-b12c-a0369fe50396,bad-bunny,Bad Bunny
11e81bc3-e4fe-3604-af58-a0369fe50396,calvin-harris,Calvin Harris
11e81bd2-0f3a-705a-837c-a0369fe50396,coldplay,Coldplay
11e81bcd-e4e1-abec-b679-a0369fe50396,dua-lipa,Dua Lipa
11e81bc9-76a2-7f16-85ee-a0369fe50396,sam-smith-3,Sam Smith
11e81bbe-ebe6-c6ac-95d9-a0369fe50396,imagine-dragons,Imagine Dragons
11e81bc3-1db8-3a72-a563-a0369fe50396,21-savage,21 Savage
11e81bba-4ded-bd6a-8b4a-a0369fe50396,bruno-mars,Bruno Mars
11e81bcd-4759-966e-904e-a0369fe50396,selena-gomez,Selena Gomez
11e81bd2-2529-68d0-8dad-a0369fe50396,lady-gaga,Lady Gaga
11e81bc7-1b61-cf28-899b-a0369fe50396,maroon-5,Maroon 5
11e81bd3-3d85-e420-9f60-a0369fe50396,marshmello,marshmello
11e81bce-c4cb-1af4-b863-a0369fe50396,karol-g,Karol G
11e81bd0-c74e-d8fe-ae6c-a0369fe50396,metro-boomin,Metro Boomin
11e81bca-ebf7-e1c4-85d5-a0369fe50396,kanye-west,Kanye West
11e81bd1-cfa8-2e50-a490-a0369fe50396,katy-perry,Katy Perry
11e81bcc-9c1c-ce38-b96b-a0369fe50396,billie-eilish,Billie Eilish
11e81bce-6036-db1e-9734-a0369fe50396,khalid-1,Khalid
11e81bd3-1aa8-e9ac-949d-a0369fe50396,post-malone,Post Malone
11e81bbb-3d99-a860-97df-a0369fe50396,chris-brown,Chris Brown
11e81bca-6acb-9a46-8802-a0369fe50396,j-balvin,J Balvin
11e81bc3-7980-c950-afcb-a0369fe50396,doja-cat,Doja Cat
11e81bbe-edd0-d93a-9df4-a0369fe50396,adele,Adele
11e83fe9-f52f-5ec8-83b4-a0369fe50396,rauw-alejandro,Rauw Alejandro
11e81bba-f201-dfbc-8b24-a0369fe50396,daddy-yankee,Daddy Yankee
11e81bbf-b197-3774-bc85-a0369fe50396,beyonce,Beyoncé
11e83feb-d5cb-13cc-a088-aa1c026db3d8,bizarrap,Bizarrap
11e81bc1-0107-bd8c-8c02-a0369fe50396,elton-john,Elton John
11e81bbe-04e9-df46-984f-a0369fe50396,onerepublic,OneRepublic
11e81bc0-4610-ebca-86d4-a0369fe50396,ozuna,Ozuna
11e81bc7-927d-402e-a05e-a0369fe50396,nicki-minaj,Nicki Minaj
11e81bba-82e1-2372-a5b4-a0369fe50396,future,Future
11e81bbc-46f8-7e94-b612-a0369fe50396,bebe-rexha,Bebe Rexha
11e81bc0-60ff-b9f2-8fdf-a0369fe50396,sia,Sia
11e81bc3-b843-a3b0-b531-a0369fe50396,travis-scott,Travis Scott
11e81bbd-adb7-ad98-aa83-a0369fe50396,queen,Queen
11e81bc2-a78f-b7bc-a66a-a0369fe50396,shawn-mendes,Shawn Mendes
11e81bc1-32d6-d91a-9bdf-a0369fe50396,rosalia,ROSALÍA
11e81bca-7284-1268-a342-a0369fe50396,ellie-goulding,Ellie Goulding
11e81bc9-3b2e-b396-acc3-a0369fe50396,tiesto,Tiësto
11e81bc7-a843-4110-99bc-a0369fe50396,lana-del-rey,Lana Del Rey
11e81bbc-c601-d802-bca1-a0369fe50396,kendrick-lamar,Kendrick Lamar
11e81bc9-e496-5808-a791-a0369fe50396,halsey,Halsey
11e81bcd-cac3-5a30-bad2-a0369fe50396,arctic-monkeys,Arctic Monkeys
11e81bc2-2c43-2008-b937-a0369fe50396,charlie-puth,Charlie Puth
7c01da4e-ef64-455c-9179-10d81d89eec4,black-eyed-peas-1,Black Eyed Peas
11e81bc4-3e3b-5008-83c3-a0369fe50396,camila-cabello,Camila Cabello
83f78e52-2a25-11e9-9063-00163ec5a2fb,rema-4,Rema
11e81bc7-2cf5-a156-bdeb-a0369fe50396,one-direction,One Direction
11e81bcd-0e15-ad98-9230-a0369fe50396,feid,Feid
a998526e-6d73-4332-bf8c-59e83eeb6adb,pinkpantheress,PinkPantheress
eb94a04d-ed5f-46e4-8ade-d74ed660599a,ice-spice,Ice Spice
11e81bbf-f51e-5d92-b3d0-a0369fe50396,j-cole,J. Cole
7108b884-c3e6-11e8-9dac-525400009efb,the-kid-laroi,The Kid Laroi
11e81bc7-02a0-ae46-b65d-a0369fe50396,bts,BTS
11e83fe9-a3b0-79ce-9b4e-a0369fe50396,olivia-rodrigo-madison-hu,Olivia Rodrigo
11e81bbd-419a-fc46-9050-a0369fe50396,manuel-turizo,Manuel Turizo
11e81bc3-b7f5-d9f0-8204-a0369fe50396,michael-jackson,Michael Jackson
11e81bcd-43c7-cf20-a464-a0369fe50396,xxxtentacion,XXXTENTACION
11e81bc0-bf5f-e0bc-84e8-a0369fe50396,linkin-park,Linkin Park
11e81bcd-3497-ca6e-ad4d-a0369fe50396,p-nk,P!nk
11e81bd0-9217-2452-999e-a0369fe50396,jay-z,JAY-Z
11e81bbc-8551-43d8-9120-a0369fe50396,lil-uzi-vert,Lil Uzi Vert
11e81bd1-1492-d0f2-af83-a0369fe50396,avicii,Avicii
11e81bc3-78f3-54d0-bb1e-a0369fe50396,farruko,Farruko
11e81bca-9efc-830c-a948-a0369fe50396,maluma,Maluma
11e81bc7-3661-6e64-a6a7-a0369fe50396,meghan-trainor,Meghan Trainor
158d5cb2-c5fd-11e8-8b8c-549f35141000,lil-nas-x,Lil Nas X
11e81bc0-d6e7-e0b8-85eb-a0369fe50396,the-chainsmokers,The Chainsmokers
18575950-7fdd-4e14-a445-f64dbbdbcae3,quevedo-1,Quevedo
11e81bc9-221d-3f3a-9f80-a0369fe50396,james-arthur,James Arthur
11e81bc8-b6fd-32c8-bb52-a0369fe50396,kim-petras,Kim Petras
910e5b0a-240e-11ea-8d99-801844ee83a6,peso-pluma,Peso Pluma
2dd71421-675c-4b75-8b6f-8065d1f70d38,stephen-sanchez,Stephen Sanchez
11e81bd0-8008-de18-90e5-a0369fe50396,lewis-capaldi,Lewis Capaldi
11e81bd1-91a5-31ac-bb46-a0369fe50396,anuel-aa,Anuel AA
11e81bcd-1c03-2048-8cdc-a0369fe50396,pitbull-1,Pitbull
d9f2cb18-b82a-11e8-b478-525400009efb,myke-towers-1,Myke Towers
11e81bc0-677f-5bac-a6fb-a0369fe50396,lil-wayne,Lil Wayne
11e81bc8-65b0-7006-9292-a0369fe50396,britney-spears,Britney Spears
11e81bbc-9c04-3478-a68d-a0369fe50396,gorillaz,Gorillaz
11e81bc6-b994-94f6-9e0d-a0369fe50396,miguel-1,Miguel
11e83fee-eec2-cbd8-be5a-aa1c026db3d8,juice-wrld-1,Juice WRLD
11e81bbd-4b75-6d64-a72f-a0369fe50396,50-cent,50 Cent
11e81bba-bdf5-94fc-b0d2-a0369fe50396,the-neighbourhood,The Neighbourhood
11e81bcc-e6ef-4616-a1c3-a0369fe50396,jason-derulo,Jason Derulo
11e81bcc-b235-0ae6-99bb-a0369fe50396,raye-1,RAYE
11e81bc2-14fb-e56a-8046-a0369fe50396,lil-baby,Lil Baby
11e81bbf-30a3-167e-9abc-a0369fe50396,demi-lovato,Demi Lovato
11e81bca-950c-3a36-81ea-a0369fe50396,dababy,DaBaby
11e81bd0-5a02-b2d4-a988-a0369fe50396,cardi-b,Cardi B
11e81bca-75b6-3380-baf2-a0369fe50396,becky-g,Becky G
7e4c2c8a-b6be-4b08-b371-71f86e2fd050,d4vd,d4vd
11e81bc1-cde8-a460-8234-a0369fe50396,hozier,Hozier
11e85918-e40a-ac2c-a4cc-a0369fe50396,ava-max,Ava Max
11e81bc0-4f53-f948-be63-a0369fe50396,the-beatles,The Beatles
11e81bbb-f4d5-86ac-9891-a0369fe50396,wiz-khalifa,Wiz Khalifa
11e81bc3-b108-2dd2-9858-a0369fe50396,dj-snake,DJ Snake
11e81bbf-5a79-1e4e-ae35-a0369fe50396,jack-harlow,Jack Harlow
11e81bc2-1456-6ac2-9942-a0369fe50396,snoop-dogg,Snoop Dogg
11e81bc7-cfdd-180e-8641-a0369fe50396,arcangel,Arcángel
11e81bc3-514f-4556-87e6-a0369fe50396,justin-timberlake,Justin Timberlake
11e81bcf-01d6-bc82-9f92-a0369fe50396,robin-schulz,Robin Schulz
11e81bc9-b790-f246-94cb-a0369fe50396,sean-paul,Sean Paul
11e81bd2-c0d5-bba8-ad9e-a0369fe50396,diplo,Diplo
11e83feb-0064-034c-b479-a0369fe50396,tate-mcrae,Tate McRae
11e81bc8-bd7d-804e-b8b2-a0369fe50396,arijit-singh,Arijit Singh
11e88aac-7615-59c2-aa13-c81f66c9b203,coi-leray,Coi Leray
11e81bc3-3975-c540-968c-a0369fe50396,red-hot-chili-peppers,Red Hot Chili Peppers
11e83fe8-2366-316a-bc9a-aa1c026db3d8,young-thug-1,Young Thug
b2da9cf8-fae3-11e8-8af2-00163ec5a2fb,chencho-corleone,Chencho Corleone
11e81bd1-e791-cd8c-a703-a0369fe50396,fleetwood-mac,Fleetwood Mac
19fbf0c7-1f3e-4f29-8b94-47da94f6e3d3,jvke-1,JVKE
11e81bbe-73b9-31ce-a36b-a0369fe50396,tyler-the-creator,"Tyler, the Creator"
11e81bc0-59c7-f79e-9a97-a0369fe50396,pritam,Pritam
11e81bd2-69ce-d2c2-9df8-a0369fe50396,kygo,Kygo
11e81bcc-9d54-2814-a5b5-a0369fe50396,macklemore,Macklemore
11e81bba-f1b1-8df0-9c5e-a0369fe50396,steve-lacy,Steve Lacy
11e81bc8-4816-f6f0-8201-a0369fe50396,ty-dolla-ign,Ty Dolla $ign
11e81bca-d5fc-eacc-a05b-a0369fe50396,nirvana-3,Nirvana
11e81bc9-0631-85e2-8f8a-a0369fe50396,oliver-tree,Oliver Tree
